"Code or Value","Value Description","Count","Cumulative","Skip to Item","var_name"
"0 to 253436.57188","Range of Values",9965,9965,NA,"WTMREP35"
".","Missing",0,9965,NA,"WTMREP35"
"0 to 261427.09527","Range of Values",9965,9965,NA,"WTMREP36"
".","Missing",0,9965,NA,"WTMREP36"
"0 to 262556.46962","Range of Values",9965,9965,NA,"WTMREP37"
".","Missing",0,9965,NA,"WTMREP37"
"0 to 265965.07558","Range of Values",9965,9965,NA,"WTMREP38"
".","Missing",0,9965,NA,"WTMREP38"
"0 to 263382.4133","Range of Values",9965,9965,NA,"WTMREP39"
".","Missing",0,9965,NA,"WTMREP39"
"0 to 262655.33471","Range of Values",9965,9965,NA,"WTMREP40"
".","Missing",0,9965,NA,"WTMREP40"
"0 to 263442.38982","Range of Values",9965,9965,NA,"WTMREP41"
".","Missing",0,9965,NA,"WTMREP41"
"0 to 263487.73528","Range of Values",9965,9965,NA,"WTMREP42"
".","Missing",0,9965,NA,"WTMREP42"
"0 to 263992.07035","Range of Values",9965,9965,NA,"WTMREP43"
".","Missing",0,9965,NA,"WTMREP43"
"0 to 262043.77211","Range of Values",9965,9965,NA,"WTMREP44"
".","Missing",0,9965,NA,"WTMREP44"
"0 to 257748.99083","Range of Values",9965,9965,NA,"WTMREP45"
".","Missing",0,9965,NA,"WTMREP45"
"0 to 266060.30544","Range of Values",9965,9965,NA,"WTMREP46"
".","Missing",0,9965,NA,"WTMREP46"
"0 to 252840.3993","Range of Values",9965,9965,NA,"WTMREP47"
".","Missing",0,9965,NA,"WTMREP47"
"0 to 261674.57726","Range of Values",9965,9965,NA,"WTMREP48"
".","Missing",0,9965,NA,"WTMREP48"
"0 to 261134.18335","Range of Values",9965,9965,NA,"WTMREP49"
".","Missing",0,9965,NA,"WTMREP49"
"0 to 261980.54185","Range of Values",9965,9965,NA,"WTMREP50"
".","Missing",0,9965,NA,"WTMREP50"
"0 to 259613.17584","Range of Values",9965,9965,NA,"WTMREP51"
".","Missing",0,9965,NA,"WTMREP51"
"0 to 260463.01834","Range of Values",9965,9965,NA,"WTMREP52"
".","Missing",0,9965,NA,"WTMREP52"
"0 to 238420.85936","Range of Values",9965,9965,NA,"WTIREP01"
".","Missing",0,9965,NA,"WTIREP01"
"0 to 237013.9879","Range of Values",9965,9965,NA,"WTIREP02"
".","Missing",0,9965,NA,"WTIREP02"
"0 to 236865.01184","Range of Values",9965,9965,NA,"WTIREP03"
".","Missing",0,9965,NA,"WTIREP03"
"0 to 237416.49771","Range of Values",9965,9965,NA,"WTIREP04"
".","Missing",0,9965,NA,"WTIREP04"
"0 to 237747.75605","Range of Values",9965,9965,NA,"WTIREP05"
".","Missing",0,9965,NA,"WTIREP05"
"0 to 238188.48458","Range of Values",9965,9965,NA,"WTIREP06"
".","Missing",0,9965,NA,"WTIREP06"
"0 to 235374.89521","Range of Values",9965,9965,NA,"WTIREP07"
".","Missing",0,9965,NA,"WTIREP07"
"0 to 237535.86045","Range of Values",9965,9965,NA,"WTIREP08"
".","Missing",0,9965,NA,"WTIREP08"
"0 to 238836.16707","Range of Values",9965,9965,NA,"WTIREP09"
".","Missing",0,9965,NA,"WTIREP09"
"0 to 240731.79741","Range of Values",9965,9965,NA,"WTIREP10"
".","Missing",0,9965,NA,"WTIREP10"
"0 to 240439.93322","Range of Values",9965,9965,NA,"WTIREP11"
".","Missing",0,9965,NA,"WTIREP11"
"0 to 237833.53131","Range of Values",9965,9965,NA,"WTIREP12"
".","Missing",0,9965,NA,"WTIREP12"
"0 to 236237.26884","Range of Values",9965,9965,NA,"WTIREP13"
".","Missing",0,9965,NA,"WTIREP13"
"0 to 242715.02986","Range of Values",9965,9965,NA,"WTIREP14"
".","Missing",0,9965,NA,"WTIREP14"
"0 to 241151.11465","Range of Values",9965,9965,NA,"WTIREP15"
".","Missing",0,9965,NA,"WTIREP15"
"0 to 241051.95876","Range of Values",9965,9965,NA,"WTIREP16"
".","Missing",0,9965,NA,"WTIREP16"
"0 to 237292.10154","Range of Values",9965,9965,NA,"WTIREP17"
".","Missing",0,9965,NA,"WTIREP17"
"0 to 237121.73258","Range of Values",9965,9965,NA,"WTIREP18"
".","Missing",0,9965,NA,"WTIREP18"
"0 to 240662.67747","Range of Values",9965,9965,NA,"WTIREP19"
".","Missing",0,9965,NA,"WTIREP19"
"0 to 237367.40897","Range of Values",9965,9965,NA,"WTIREP20"
".","Missing",0,9965,NA,"WTIREP20"
"0 to 238551.11865","Range of Values",9965,9965,NA,"WTIREP21"
".","Missing",0,9965,NA,"WTIREP21"
"0 to 236978.52835","Range of Values",9965,9965,NA,"WTIREP22"
".","Missing",0,9965,NA,"WTIREP22"
"0 to 237791.3281","Range of Values",9965,9965,NA,"WTIREP23"
".","Missing",0,9965,NA,"WTIREP23"
"0 to 238519.14532","Range of Values",9965,9965,NA,"WTIREP24"
".","Missing",0,9965,NA,"WTIREP24"
"0 to 236876.34057","Range of Values",9965,9965,NA,"WTIREP25"
".","Missing",0,9965,NA,"WTIREP25"
"0 to 237924.50944","Range of Values",9965,9965,NA,"WTIREP26"
".","Missing",0,9965,NA,"WTIREP26"
"0 to 238878.16902","Range of Values",9965,9965,NA,"WTIREP27"
